name,address,website,tel
La Ballerina,"7-8 Bow St, London, WC2E 7AH",http://www.laballerina.co,020 7379 6659
Melanie Restaurant,"4-6 Old Compton St, London, W1D 4TB",http://www.melanieitalianrestaurant.co.uk,020 7437 4006
Zizzi,"20 Bow St, London, WC2E 7AW",https://www.zizzi.co.uk/,020 3105 9071
Il Cucciolo Restaurant,"8 Old Compton St, London, W1D 4TE",https://www.opentable.co.uk/il-cucciolo,020 7437 0302
Pizza Express,"30 Coptic St, London, WC1A 1NS",https://www.pizzaexpress.com/coptic-street?utm_source=listings&utm_medium=Places&utm_campaign=coptic-street,020 7636 3232
Pizza Express,"23 Bruton Place, Mayfair, London, W1J 6ND",https://www.pizzaexpress.com/mayfair?utm_source=listings&utm_medium=Places&utm_campaign=mayfair,020 7495 1411
The Real Greek Restaurant,"61-62 Long Acre, London, WC2E 9JL",http://www.therealgreek.com,020 7240 2292
Indiano Pizza,"17 St. James's St, London, E17 7PJ",http://www.indianopizza.com,020 8509 0999
Giotto Restaurant,"52-54 New Oxford St, London, WC1A 1ES",http://www.giottolondon.com,020 7323 0891
Pizza Express,"Unit 3 The White House, 9c, Belvedere Rd, London, SE1 8YP",http://www.pizzaexpress.com,020 7928 4091
Strada,"337-338 Belvedere Rd, South Bank, London, SE1 8XX",http://www.strada.co.uk,020 7401 9126
Cafe Mode,"57-59, Endell St, London, WC2H 9AJ",http://www.cafemode.com,020 7240 8085
The Caprini Restaurant,"77 Waterloo Rd, London, SE1 8UD",https://www.caprini.co.uk/,020 7928 6645
Pizza Pilgrims Ltd,"11 Dean St, London, W1D 3RR",http://www.pizzapilgrims.co.uk,020 7287 8955
Pizza Express,"10 Dean St, London, W1D 3RW",https://www.pizzaexpress.com/dean-street?utm_source=listings&utm_medium=Places&utm_campaign=dean-street,020 7437 9595
Polpetto,"11 Berwick St, London, W1F 0PL",http://www.polpetto.co.uk,020 7439 8627
Zizzi,"8 Central St. Giles Piazza, Bucknall St, London, WC2H 8AB",https://www.zizzi.co.uk/,020 3302 0019
I C C O Pizza,"46 Goodge St, London, W1T 4LU",http://www.icco.co.uk,020 7580 9250
Downtown Pizza Ltd,"29 St. James's St, London, E17 7PJ",http://www.citi-pizza.co.uk,020 8520 2555
Echo Pizza,"186 Drury Lane, Holborn, LONDON, WC2B 5RU",,020 7404 3555
Polpo,"41 Beak Street, London, W1F 9SB",http://www.polpo.co.uk,020 7734 4479
La Porchetta,"33 Boswell St, London, WC1N 3BP",http://www.laporchetta.net,020 7242 2434
Pizza Pilgrims,"11 Kingly St, London, W1B 5PW",http://www.pizzapilgrims.co.uk,020 7287 2200
Pizza Express,"85 Victoria St, London, SW1H 0HW",https://www.pizzaexpress.com/victoria-street?utm_source=listings&utm_medium=Places&utm_campaign=victoria-street,020 7222 5270
PizzaSi Cafe,"Shop, 1, Victoria Arcade, London, SW1E 5ND",,020 7998 9848
Azzurro Italian Restaurant Kitchen,"York Rd, London, SE1 7ND",http://www.azzurro-restaurant.co.uk,020 7620 1300
Pizza Express,"99 High Holborn, London, WC1V 6LF",https://www.pizzaexpress.com/high-holborn?utm_source=listings&utm_medium=Places&utm_campaign=high-holborn,020 7831 5305
That's Amore Express,"1 Victoria Arcade, London, SW1E 5ND",,020 7988 9848
Gourmet Pizza Company,"56 Upper Ground, London, SE1 9PP",http://www.gourmetpizzacompany.co.uk?utm_source=listings&utm_medium=Places&utm_campaign=Gabriel's%20Wharf,020 7928 3188
Vantra Restaurant,"11 Soho St, London, W1D 3AD",http://www.vantra.co.uk,020 7287 6060
Pizza Express,"7-9 Charlotte St, London, W1T 1RB",https://www.pizzaexpress.com/charlotte-street?utm_source=listings&utm_medium=Places&utm_campaign=charlotte-street,020 7580 1110
Spectrum,"1 Addington Street, Lambeth, LONDON, SE1 7RY",http://www.parkplazacountyhall.com,020 7021 1919
Zizzi,"Unit 15 Cardinal Walk Victoria, London, SW1E 5JE",https://www.zizzi.co.uk/,020 3802 2294
Fireaway Pizza,"Hercules Rd, London, SE1 7LD",,07775 122222
Riverside Cafe Lambeth Pier,"Lambeth Pier Albert Embankment, London, SE1 7SG",,020 7401 7575
Pizza Express,"114-117 Southampton Row, London, WC1B 5AA",https://www.pizzaexpress.com/southampton-row?utm_source=listings&utm_medium=Places&utm_campaign=southampton-row,020 7430 1011
Domino's,"37 Foley St, London, W1W 7TN",https://www.dominos.co.uk/?utm_source=extended_network&utm_medium=yext&y_source=1_MTIxMzc4MzctNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7436 9000
La Strada,"4-5 Lansdowne Row, London, W1J 6DP",,020 7499 2027
Bella Italia - London Argyll Street,"25 Argyll St, London, W1F 7TU",http://www.bellaitalia.co.uk,020 7437 0992
Bar Remo,"2 Princes St, London, W1B 2LB",http://www.barremo.london,020 7629 1715
Spaghetti House Ltd,"15-17 Goodge St, London, W1T 2PQ",http://www.spaghettihouse.co.uk,020 7636 6582
Tempio Restaurant & Bar,"Suite 5-10 Temple Chambers 3-7, Temple Avenue, London, EC4Y 0HP",http://www.tempio.co.uk,020 7583 2615
Pizza Hut,"150 Southampton Row, London, WC1B 5AL",http://www.pizzahut.co.uk,020 7837 3934
Chicken Palace,"101 Westminster Bridge Rd, London, SE1 7HR",,020 7928 9917
Pizza Express Pizzeria & Bar,"4-5 Langham Place, London, W1B 3DG",https://www.pizzaexpress.com/langham-place-oxford-circus?utm_source=listings&utm_medium=Places&utm_campaign=langham-place-oxford-circus,020 7580 3700
Mayfair Pizza Company,"4-6 Lancashire Court, Mayfair, LONDON, W1S 1EY",,020 7629 2889
Pizza Express,"1 New Fetter Lane, London, EC4A 1AN",https://www.pizzaexpress.com/new-fetter-lane?utm_source=listings&utm_medium=Places&utm_campaign=new-fetter-lane,020 7583 8880
Casella Giulio,"8 Salisbury Court, London, EC4Y 8AA",,020 7353 2264
Prezzo London Mayfair,"17 Hertford St, Mayfair, London, W1J 7RS",https://www.prezzorestaurants.co.uk/restaurant/london---mayfair?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7499 4690
Ristorante Olivelli,"61 The Cut, London, SE1 8LL",http://www.pizzaparadiso.co.uk,020 7261 1221
Gallio Pizza Lambeth,"Railway Arch, 193, Hercules Rd, London, SE1 7LD",http://www.galliopizza.com,020 7493 0111
Il Pizzaiolo,"3 Blenheim St, London, W1S 1LA",http://www.ilpizzaiolo.co.uk,020 7499 9878
